row_id,spell_id,spell_name,type,class,current_category,proposed_category,specs,applications,players,context,confidence,proposal_key,decision,decision_notes
R0070,440289,Rune Carved Plates,addition,DEATHKNIGHT,,defensives,Blood 13897/30; Frost 1226/24,15123,54,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|rune carved plates|440289,Rejected,
R0074,434034,Blood-Soaked Ground,addition,DEATHKNIGHT,,defensives,Blood 5448/34; Unholy 64/1,5512,35,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|blood-soaked ground|434034,Rejected,
R0079,391527,Umbilicus Eternus,addition,DEATHKNIGHT,,defensives,Blood 3128/54,3128,54,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|umbilicus eternus|391527,Rejected,
R0100,454871,Blood Draw,addition,DEATHKNIGHT,,defensives,Blood 928/56; Unholy 117/37; Frost 21/6,1066,98,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|blood draw|454871,Rejected,
R0105,1287955,Rune of Void-Tainted Shell,addition,DEATHKNIGHT,,defensives,Blood 525/10; Unholy 201/7; Frost 94/5,820,21,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|rune of void-tainted shell|1287955,Rejected,
R0111,1254638,Solar Core Igniter,addition,DEATHKNIGHT,,defensives,Blood 514/4; Unholy 12/1,526,5,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|solar core igniter|1254638,Rejected,
R0127,374748,Perseverance of the Ebon Blade,addition,DEATHKNIGHT,,defensives,Blood 266/5,266,5,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|perseverance of the ebon blade|374748,Rejected,
R0128,1254641,Rotting Globule,addition,DEATHKNIGHT,,defensives,Blood 265/3,265,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|rotting globule|1254641,Rejected,
R0130,1254520,Gelatinous Protection,addition,DEATHKNIGHT,,defensives,Blood 228/4,228,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|gelatinous protection|1254520,Rejected,
R0137,1223612,Ethereal Barrier,addition,DEATHKNIGHT,,defensives,Blood 170/3,170,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|ethereal barrier|1223612,Rejected,
R0144,1263861,Consumption,addition,DEATHKNIGHT,,defensives,Blood 97/7,97,7,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|consumption|1263861,Rejected,
R0152,1254514,Coalesced Jelly,addition,DEATHKNIGHT,,defensives,Blood 60/4,60,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|coalesced jelly|1254514,Rejected,
R0167,433981,Newly Turned,addition,DEATHKNIGHT,,defensives,Blood 21/10,21,10,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|newly turned|433981,Rejected,
R0073,427901,Deflecting Dance,addition,DEMONHUNTER,,defensives,Havoc 5668/45,5668,45,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|deflecting dance|427901,Rejected,
R0076,1266619,"First In, Last Out",addition,DEMONHUNTER,,defensives,Devourer 2153/107; Havoc 1100/47; Vengeance 802/30,4055,181,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,"addition|defensives|DEMONHUNTER|first in, last out|1266619",Rejected,
R0077,1265857,Revel in Pain,addition,DEMONHUNTER,,defensives,Vengeance 4016/4,4016,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|revel in pain|1265857,Rejected,
R0095,1266616,Demon Muzzle,addition,DEMONHUNTER,,defensives,Devourer 730/74; Havoc 342/33; Vengeance 226/17,1298,123,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|demon muzzle|1266616,Rejected,
R0097,263648,Soul Barrier,addition,DEMONHUNTER,,defensives,Vengeance 1170/28,1170,28,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|soul barrier|263648,Rejected,
R0103,393009,Fel Flame Fortification,addition,DEMONHUNTER,,defensives,Vengeance 1017/12,1017,12,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|fel flame fortification|393009,Rejected,
R0108,1287955,Rune of Void-Tainted Shell,addition,DEMONHUNTER,,defensives,Devourer 394/14; Havoc 112/4; Vengeance 84/5,590,22,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|rune of void-tainted shell|1287955,Rejected,
R0109,207771,Fiery Brand,addition,DEMONHUNTER,,defensives,Vengeance 563/29,563,29,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|fiery brand|207771,Approved,
R0164,1255367,Tangle of Vibrant Vines,addition,DEMONHUNTER,,defensives,Devourer 25/3,25,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEMONHUNTER|tangle of vibrant vines|1255367,Rejected,
R0066,372505,Ursoc's Fury,addition,DRUID,,defensives,Guardian 25104/47,25104,47,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|ursoc's fury|372505,Rejected,
R0082,385787,Matted Fur,addition,DRUID,,defensives,Guardian 1329/44; Balance 604/54; Restoration 265/48; Feral 220/28,2418,174,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|matted fur|385787,Rejected,
R0086,24858,Moonkin Form,addition,DRUID,,defensives,Balance 1186/55; Restoration 840/10; Guardian 10/3,2036,68,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|moonkin form|24858,Rejected,
R0089,5487,Bear Form,addition,DRUID,,defensives,Restoration 695/42; Balance 467/47; Guardian 376/51; Feral 120/22,1658,162,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|bear form|5487,Rejected,
R0093,1278800,Natural Resilience,addition,DRUID,,defensives,Guardian 1330/40,1330,40,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|natural resilience|1278800,Rejected,
R0123,1287955,Rune of Void-Tainted Shell,addition,DRUID,,defensives,Guardian 230/10; Feral 62/3; Balance 30/1; Restoration 5/1,327,15,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|rune of void-tainted shell|1287955,Rejected,
R0124,740,Tranquility,addition,DRUID,,defensives,Restoration 297/52,297,52,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|tranquility|740,Rejected,This is a healing cooldown - TBD whether its a raid CD or not
R0145,1223612,Ethereal Barrier,addition,DRUID,,defensives,Guardian 93/3,93,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|ethereal barrier|1223612,Rejected,
R0157,1254520,Gelatinous Protection,addition,DRUID,,defensives,Guardian 40/2; Feral 4/1,44,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|gelatinous protection|1254520,Rejected,
R0162,1263141,Gloom-Spattered Dreadscale,addition,DRUID,,defensives,Guardian 26/3,26,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DRUID|gloom-spattered dreadscale|1263141,Rejected,
R0101,410355,Stretch Time,addition,EVOKER,,defensives,Devastation 651/21; Augmentation 384/28; Preservation 18/4,1053,53,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|EVOKER|stretch time|410355,Rejected,
R0139,1287955,Rune of Void-Tainted Shell,addition,EVOKER,,defensives,Preservation 65/3; Devastation 55/3; Augmentation 19/1,139,7,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|EVOKER|rune of void-tainted shell|1287955,Rejected,
R0141,431872,Temporality,addition,EVOKER,,defensives,Preservation 75/6; Augmentation 39/2,114,8,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|EVOKER|temporality|431872,Rejected,
R0085,451447,Don't Look Back,addition,HUNTER,,defensives,Marksmanship 1646/16; Survival 621/6,2267,22,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|HUNTER|don't look back|451447,Rejected,
R0125,1287955,Rune of Void-Tainted Shell,addition,HUNTER,,defensives,Beast Mastery 240/12; Survival 35/2; Marksmanship 17/1,292,15,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|HUNTER|rune of void-tainted shell|1287955,Rejected,
R0158,65116,Stoneform,addition,HUNTER,,defensives,Beast Mastery 24/7; Survival 18/2,42,8,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|HUNTER|stoneform|65116,Rejected,This is a racial ability
R0081,235450,Prismatic Barrier,addition,MAGE,,defensives,Arcane 2733/98; Fire 1/1,2734,98,100% self-applied and DB2 says it absorbs damage and reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|prismatic barrier|235450,Approved,
R0083,449336,Merely a Setback,addition,MAGE,,defensives,Arcane 2367/67,2367,67,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|merely a setback|449336,Rejected,
R0084,11426,Ice Barrier,addition,MAGE,,defensives,Frost 2290/96; Fire 1/1,2291,97,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|ice barrier|11426,Approved,
R0106,414658,Ice Cold,addition,MAGE,,defensives,Frost 387/72; Arcane 331/85; Fire 19/6,737,160,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|ice cold|414658,Approved,
R0112,1287955,Rune of Void-Tainted Shell,addition,MAGE,,defensives,Arcane 332/14; Frost 159/6,491,20,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|rune of void-tainted shell|1287955,Rejected,
R0120,235313,Blazing Barrier,addition,MAGE,,defensives,Frost 171/9; Fire 158/8,329,17,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|blazing barrier|235313,Approved,
R0159,65116,Stoneform,addition,MAGE,,defensives,Frost 21/3; Arcane 11/6; Fire 2/1,34,10,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|MAGE|stoneform|65116,Rejected,Racial ability - new group
R0067,414143,Yu'lon's Grace,addition,MONK,,defensives,Mistweaver 10688/33; Brewmaster 6866/44; Windwalker 6063/44,23617,121,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|yu'lon's grace|414143,Rejected,
R0090,451253,Mantra of Purity,addition,MONK,,defensives,Brewmaster 1629/13,1629,13,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|mantra of purity|451253,Rejected,
R0098,451230,Predictive Training,addition,MONK,,defensives,Brewmaster 1127/30,1127,30,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|predictive training|451230,Rejected,
R0099,1241059,Celestial Infusion,addition,MONK,,defensives,Brewmaster 1097/42,1097,42,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|celestial infusion|1241059,Rejected,
R0114,1263631,Awakening Spirit,addition,MONK,,defensives,Brewmaster 456/3,456,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|awakening spirit|1263631,Rejected,
R0118,448508,Jade Sanctuary,addition,MONK,,defensives,Mistweaver 356/25; Windwalker 11/1,367,26,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|jade sanctuary|448508,Rejected,
R0121,132578,"Invoke Niuzao, the Black Ox",addition,MONK,,defensives,Brewmaster 329/42,329,42,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,"addition|defensives|MONK|invoke niuzao, the black ox|132578",Approved,
R0122,1287955,Rune of Void-Tainted Shell,addition,MONK,,defensives,Windwalker 156/8; Brewmaster 134/3; Mistweaver 38/3,328,14,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|rune of void-tainted shell|1287955,Rejected,
R0135,455179,Elixir of Determination,addition,MONK,,defensives,Brewmaster 176/19,176,19,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|elixir of determination|455179,Rejected,
R0140,1223612,Ethereal Barrier,addition,MONK,,defensives,Brewmaster 137/4,137,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|ethereal barrier|1223612,Rejected,
R0163,1254638,Solar Core Igniter,addition,MONK,,defensives,Brewmaster 26/4,26,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|solar core igniter|1254638,Rejected,
R0165,1263141,Gloom-Spattered Dreadscale,addition,MONK,,defensives,Brewmaster 24/3,24,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|gloom-spattered dreadscale|1263141,Rejected,
R0166,442749,Niuzao's Protection,addition,MONK,,defensives,Windwalker 12/2; Mistweaver 11/4,23,6,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|MONK|niuzao's protection|442749,Rejected,
R0068,209388,Bulwark of Order,addition,PALADIN,,defensives,Protection 22812/74,22812,74,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|bulwark of order|209388,Rejected,
R0071,461867,Sacrosanct Crusade,addition,PALADIN,,defensives,Retribution 4929/113; Protection 3327/26,8256,138,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|sacrosanct crusade|461867,Rejected,
R0091,389539,Sentinel,addition,PALADIN,,defensives,Protection 1516/44,1516,44,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|sentinel|389539,Approved,
R0094,1287955,Rune of Void-Tainted Shell,addition,PALADIN,,defensives,Retribution 825/41; Protection 345/14; Holy 139/6,1309,61,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|rune of void-tainted shell|1287955,Rejected,
R0096,1237611,Palisade's Protection,addition,PALADIN,,defensives,Protection 1236/2; Holy 52/1,1288,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|palisade's protection|1237611,Rejected,
R0113,1301739,Blessed Word,addition,PALADIN,,defensives,Protection 491/8,491,8,95% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|blessed word|1301739,Rejected,
R0116,1277046,Adjudication,addition,PALADIN,,defensives,Protection 410/3,410,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|adjudication|1277046,Rejected,
R0131,1254638,Solar Core Igniter,addition,PALADIN,,defensives,Protection 216/4,216,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|solar core igniter|1254638,Rejected,
R0134,1254520,Gelatinous Protection,addition,PALADIN,,defensives,Protection 179/3; Holy 5/1,184,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|gelatinous protection|1254520,Rejected,
R0143,1223612,Ethereal Barrier,addition,PALADIN,,defensives,Protection 107/3,107,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|ethereal barrier|1223612,Rejected,
R0154,1254514,Coalesced Jelly,addition,PALADIN,,defensives,Protection 45/3; Holy 9/1,54,4,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|coalesced jelly|1254514,Rejected,
R0160,65116,Stoneform,addition,PALADIN,,defensives,Retribution 17/4; Holy 7/3; Protection 7/2,31,9,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|stoneform|65116,Rejected,
R0161,1254641,Rotting Globule,addition,PALADIN,,defensives,Protection 27/3,27,3,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PALADIN|rotting globule|1254641,Rejected,
R0075,377066,Mental Fortitude,addition,PRIEST,,defensives,Shadow 5040/46,5040,46,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|PRIEST|mental fortitude|377066,Rejected,
R0080,193065,Protective Light,addition,PRIEST,,defensives,Holy 1805/50; Discipline 891/28; Shadow 50/16,2746,94,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|PRIEST|protective light|193065,Rejected,
R0102,586,Fade,addition,PRIEST,,defensives,Shadow 451/37; Holy 413/43; Discipline 179/16,1043,96,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|PRIEST|fade|586,Rejected,
